Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Size,Color,Material,Warranty,Manufacturer,Rating,Shipping_Weight,Delivery_Time,Discount,Eco_Friendly,Shipping_Cost,Shipping_Company,Shipping_Type,Insurance,Return_Policy,Model_Pred
2019-03-23,23,March,2019,49,Adults (35-64),M,Australia,New South Wales,accessories,bike racks,hitch rack - 4-bike,23,45,120,1366,1035,2401,small,green,steel,1 Year,manufacturer d,3,8.97,1,0,True,74.54,GLS,Express,Premium,7 Days,1
2017-11-11,11,November,2017,34,Young Adults (25-34),M,Canada,British Columbia,accessories,bike racks,hitch rack - 4-bike,23,45,120,1697,1035,2732,small,white,steel,3 Years,manufacturer d,5,3.22,1,11,False,14.28,UPS,Same Day,Basic,30 Days,1
2017-08-17,17,August,2017,43,Adults (35-64),F,France,Moselle,accessories,bike racks,hitch rack - 4-bike,28,45,120,1697,1260,2957,small,white,steel,Lifetime,manufacturer d,4,9.69,4,14,False,94.25,UPS,Same Day,Premium,60 Days,1
2019-09-03,3,September,2019,51,Adults (35-64),F,United States,Washington,accessories,bike racks,hitch rack - 4-bike,7,45,120,340,315,655,medium,green,steel,Lifetime,manufacturer d,5,7.38,8,24,True,86.99,Posti,Standard,Basic,30 Days,1
2017-04-13,13,April,2017,26,Young Adults (25-34),M,Australia,Queensland,accessories,bike racks,hitch rack - 4-bike,7,45,120,391,315,706,medium,black,steel,2 Years,manufacturer d,5,5.92,1,27,False,37.07,FedEx,Standard,Basic,60 Days,1
2013-05-07,7,May,2013,53,Adults (35-64),F,United States,California,accessories,bike racks,hitch rack - 4-bike,6,45,120,436,270,706,medium,green,steel,Lifetime,manufacturer d,2,3.21,2,0,False,29.5,Posti,Standard,Basic,No Return,1
2023-02-18,18,February,2023,41,Adults (35-64),M,Canada,British Columbia,accessories,bike racks,hitch rack - 4-bike,2,45,120,148,90,238,medium,white,steel,1 Year,manufacturer d,1,4.21,5,11,True,32.97,FedEx,Next Day,Premium,30 Days,1
2023-05-17,17,May,2023,27,Young Adults (25-34),M,Germany,Hamburg,accessories,bike racks,hitch rack - 4-bike,14,45,120,932,630,1562,small,white,steel,2 Years,manufacturer d,4,5.73,1,18,False,13.93,GLS,Next Day,Premium,No Return,1
2022-03-02,2,March,2022,33,Young Adults (25-34),M,United States,Washington,accessories,bike racks,hitch rack - 4-bike,6,45,120,292,270,562,medium,white,steel,2 Years,manufacturer d,3,11.1,8,12,False,12.45,DHL,Same Day,,No Return,1
2017-06-10,10,June,2017,29,Young Adults (25-34),F,France,Hauts de Seine,accessories,bike racks,hitch rack - 4-bike,2,45,120,133,90,223,medium,red,steel,2 Years,manufacturer d,1,6.74,7,20,True,76.31,DHL,Same Day,,No Return,1
2013-05-22,22,May,2013,37,Adults (35-64),F,United States,California,accessories,bike racks,hitch rack - 4-bike,8,45,120,581,360,941,medium,white,steel,1 Year,manufacturer d,4,12.13,4,8,False,35.4,FedEx,Same Day,Premium,30 Days,1
2013-10-01,1,October,2013,23,Youth (<25),F,United Kingdom,England,accessories,bike racks,hitch rack - 4-bike,3,45,120,211,135,346,medium,red,steel,Lifetime,manufacturer d,5,4.64,6,21,False,45.3,Posti,Express,,60 Days,1
2016-05-02,2,May,2016,52,Adults (35-64),F,Canada,British Columbia,accessories,bike racks,hitch rack - 4-bike,10,45,120,738,450,1188,medium,red,steel,3 Years,manufacturer d,2,2.47,1,3,True,96.41,GLS,Standard,,No Return,1
2018-05-03,3,May,2018,34,Young Adults (25-34),M,Germany,Saarland,accessories,bike racks,hitch rack - 4-bike,19,45,120,1015,855,1870,medium,green,steel,2 Years,manufacturer d,5,6.3,2,4,False,97.08,Posti,Same Day,Basic,No Return,1
2018-05-05,5,May,2018,34,Young Adults (25-34),M,Germany,Bayern,accessories,bike racks,hitch rack - 4-bike,5,45,120,369,225,594,medium,black,steel,Lifetime,manufacturer d,5,7.66,8,23,True,34.41,FedEx,Next Day,Basic,7 Days,1
2016-06-16,16,June,2016,56,Adults (35-64),M,Germany,Bayern,accessories,bike racks,hitch rack - 4-bike,22,45,120,1624,990,2614,small,blue,steel,2 Years,manufacturer d,2,12.4,9,17,False,99.68,FedEx,Next Day,,60 Days,1
